,timestamp,open,high,low,close
63,2018-07-01,1.3136,1.3159,1.3136,1.3144
64,2018-06-29,1.3256,1.3269,1.3126,1.3136
65,2018-06-28,1.3333,1.3351,1.3238,1.3256
66,2018-06-27,1.33,1.3386,1.3273,1.3333
67,2018-06-26,1.3291,1.3329,1.3276,1.3302
68,2018-06-25,1.3271,1.3325,1.3268,1.3289
69,2018-06-24,1.3268,1.3276,1.3263,1.3271
70,2018-06-22,1.3314,1.3382,1.3256,1.3268
71,2018-06-21,1.3308,1.3335,1.3282,1.3314
72,2018-06-20,1.3285,1.3321,1.3264,1.3309
73,2018-06-19,1.3203,1.3292,1.3193,1.3285
74,2018-06-18,1.32,1.3237,1.3157,1.3204
75,2018-06-17,1.3199,1.3204,1.3177,1.3201
76,2018-06-16,1.3199,1.3199,1.3199,1.3199
77,2018-06-15,1.3106,1.3208,1.3095,1.3199
78,2018-06-14,1.2975,1.311,1.2945,1.3106
79,2018-06-13,1.3017,1.3052,1.2951,1.2975
80,2018-06-12,1.2986,1.303,1.2974,1.3017
81,2018-06-11,1.2973,1.3028,1.2951,1.2985
82,2018-06-10,1.2921,1.3005,1.2921,1.2972
83,2018-06-08,1.2974,1.304,1.2917,1.2921
84,2018-06-07,1.2941,1.3001,1.2931,1.2974
85,2018-06-06,1.2967,1.2969,1.2855,1.2941
86,2018-06-05,1.2927,1.3067,1.2912,1.2967
87,2018-06-04,1.2958,1.2964,1.2897,1.2926
88,2018-06-03,1.295,1.2964,1.2944,1.2958
89,2018-06-02,1.295,1.295,1.295,1.295
90,2018-06-01,1.2941,1.3008,1.2927,1.295
91,2018-05-31,1.2889,1.2991,1.2814,1.2941
92,2018-05-30,1.3019,1.304,1.2832,1.2888
93,2018-05-29,1.2995,1.3047,1.2966,1.3021
94,2018-05-28,1.2973,1.3022,1.2969,1.2995
95,2018-05-27,1.2969,1.2973,1.2958,1.2972
96,2018-05-26,1.2969,1.2969,1.2969,1.2969
97,2018-05-25,1.2878,1.2988,1.2872,1.2969
98,2018-05-24,1.2839,1.2921,1.2826,1.2878
99,2018-05-23,1.2818,1.2916,1.2807,1.2839
